,영화제목,별점,감상평
49,여고괴담 여섯번째 이야기 : 모교,9,생각보다 괜찮았는데 '그 일'이 불편한 인간들이 평점을 이렇게 준건가요?
50,샹치와 텐 링즈의 전설,10,기대 없이 보긴 했는데 재밌었습니다. 최근 극장가서 본 영화 중 제일 좋았습니다.
51,샹치와 텐 링즈의 전설,1,중국 초등학생은 좋아할듯
52,위시 드래곤,2,음.... 내가 뭘 본거지?!
53,50가지 그림자: 해방,10,
54,인질,10,황정민 나오면 다 잼나 믿고보는 최고의 배우
55,이별의 아침에 약속의 꽃을 장식하자,10,보는 내내 감정이 휘몰아치고.. 진짜 볼때마다 우는 영화. 인생애니.... 이걸 내 어휘력으로 표현하기에는 너무 벅찬다.. 감동감동감동...진짜감동..
56,올가미,9,토착화된 히치콕 영화다. 한국 사회를 뿌리 깊이 이해하고 있을 때 나오는 작품이다. “나다.” 이 소리를 많은 여성이 두려워 하지 않았을까. 윤소정 배우님 연기 쩐다. 포스도 그렇고.최지우 정말 예쁘구나... 이세상 미가 아니다.
57,아수라,10,찢수라...모든것을 찢어버리겠다는 의지를 담은 영화이다..
58,그대 너머에,10,독창적인 영상 언어와 소통하면 비로소 드러나는 따스한 정서
59,어벤져스: 인피니티 워,10,진짜 다시봐도 꿀잼입니다. 꼭 보세요!
60,건파우더 밀크셰이크,7,나름 영상미는 좋았으나 내용이 진부한 편임.
61,샹치와 텐 링즈의 전설,10,스토리라인이 조금 설득력 부족하달까 그래도 영상 액션 완전 좋았음버스에서 싸우는 씬이랑 춤추듯이 무술하는거 맘에 들었음
62,샹치와 텐 링즈의 전설,1,빵점짜리 별점이 없는 게 아쉽다.cg만 볼만하고 스토리 개연성이나 기존 마블세계관과 너무 동떨어진 걸 억지고 접목시키려다가 탈이 난 느낌이다.디워 좋아하면 재밌다고 할지도 모르겠다. 마블영화 중에서는 최악이라고 생각함.
63,쥬만지,8,"어릴 땐 액션 어드벤처물이라 생각했는데 나이먹고 다시보니 가족 영화였다. 마지막에 돌아와서 아버지와 화해하는 모습과 , 다시 시간이 지나 아이들과 재회하는 모습을 볼 때 감동까지 느껴졌음"
64,온리 더 브레이브,8,영화적 뛰어남은 보이지 않으나 그래도 그들의 연기에서 느낄  수 있는 무언가가 이 영화에서 보인다.
65,스타워즈: 라이즈 오브 스카이워커,5,계획 없이 만든 것 같은 3부작 시리즈의 추레한 결말
66,기생충,8,하루 아침에 남편을 잃은 연교가 안타까웠음..
67,샹치와 텐 링즈의 전설,4,솔직히 너무 지루했다 마블영화를 보고있다는걸 보는내내 중간중간마다 까먹게된다 포비든킹덤인지 디워인지 드래곤볼 에볼루션인지 동양판 나니아연대기인지 헷갈리게 만드는 여러가지 짬뽕난듯한 영화
68,엔젤 해즈 폴른,8,근데 임기동안 테러 세번 당하는건 문제 있는거 아니냐? ㅋㅋㅋ
69,셔터 아일랜드,10,걍 미쳤음 개소름돋아요
70,샹치와 텐 링즈의 전설,9,양조위의 서사시 같던 작품
71,업그레이드,7,기계도 어차피 인간이 만들었기 때문에 욕망이 있다는 말인가? 능력이 프로그래밍이듯이 욕망도 프로그래밍이라는 말인가? 애초에 기계가 어떻게 인간 같은 욕망을 가졌지? 어쨌든 개발자가 개발을 잘 못 한 건 확실하다.
72,샹치와 텐 링즈의 전설,8,볼만한 내용이지만 기존마블영화와는 조금 다른느낌입니다
73,굿 라이어,8,
